Back to Contents,Data 1: Colorado Price of Natural Gas Delivered to Residential Consumers (Dollars per Thousand Cubic Feet)
Sourcekey,N3010CO3
Date,Colorado Price of Natural Gas Delivered to Residential Consumers (Dollars per Thousand Cubic Feet)
Jan-1989,4.3
Feb-1989,4.3
Mar-1989,4.33
Apr-1989,4.54
May-1989,4.82
Jun-1989,5.2
Jul-1989,5.7
Aug-1989,6.07
Sep-1989,5.81
Oct-1989,5.27
Nov-1989,4.75
Dec-1989,4.49
Jan-1990,4.34
Feb-1990,4.29
Mar-1990,4.31
Apr-1990,4.41
May-1990,4.6
Jun-1990,5.09
Jul-1990,5.91
Aug-1990,6.01
Sep-1990,6.03
Oct-1990,5.34
Nov-1990,4.55
Dec-1990,4.33
Jan-1991,4.23
Feb-1991,4.29
Mar-1991,4.39
Apr-1991,4.51
May-1991,4.68
Jun-1991,5.42
Jul-1991,5.92
Aug-1991,6.21
Sep-1991,6.14
Oct-1991,5.43
Nov-1991,4.62
Dec-1991,4.35
Jan-1992,4.25
Feb-1992,4.3
Mar-1992,4.38
Apr-1992,4.52
May-1992,4.96
Jun-1992,5.25
Jul-1992,5.78
Aug-1992,6.06
Sep-1992,5.89
Oct-1992,5.37
Nov-1992,4.5
Dec-1992,4.17
Jan-1993,4.18
Feb-1993,4.22
Mar-1993,4.26
Apr-1993,4.41
May-1993,4.62
Jun-1993,5.12
Jul-1993,5.69
Aug-1993,6.08
Sep-1993,5.58
Oct-1993,5.03
Nov-1993,4.55
Dec-1993,4.56
Jan-1994,4.58
Feb-1994,4.59
Mar-1994,4.64
Apr-1994,4.81
May-1994,5.06
Jun-1994,5.88
Jul-1994,6.5
Aug-1994,6.68
Sep-1994,6.66
Oct-1994,5.83
Nov-1994,4.93
Dec-1994,4.58
Jan-1995,4.51
Feb-1995,4.56
Mar-1995,4.6
Apr-1995,4.78
May-1995,4.86
Jun-1995,5.12
Jul-1995,5.96
Aug-1995,6.71
Sep-1995,6.62
Oct-1995,5.24
Nov-1995,4.52
Dec-1995,4.29
Jan-1996,4.08
Feb-1996,4.08
Mar-1996,4.16
Apr-1996,4.27
May-1996,4.49
Jun-1996,5.18
Jul-1996,6.23
Aug-1996,6.74
Sep-1996,6.38
Oct-1996,4.99
Nov-1996,4.31
Dec-1996,3.94
Jan-1997,4.02
Feb-1997,4.31
Mar-1997,4.38
Apr-1997,4.71
May-1997,4.91
Jun-1997,5.94
Jul-1997,6.91
Aug-1997,6.95
Sep-1997,7.16
Oct-1997,5.96
Nov-1997,5.18
Dec-1997,4.73
Jan-1998,4.58
Feb-1998,4.65
Mar-1998,4.57
Apr-1998,4.82
May-1998,5.33
Jun-1998,16.25
Jul-1998,6.43
Aug-1998,7.56
Sep-1998,8.5
Oct-1998,5.85
Nov-1998,5.28
Dec-1998,4.94
Jan-1999,4.73
Feb-1999,4.88
Mar-1999,5
Apr-1999,5.14
May-1999,5.27
Jun-1999,6.3
Jul-1999,7.36
Aug-1999,7.81
Sep-1999,7.64
Oct-1999,6.21
Nov-1999,5.8
Dec-1999,5.28
Jan-2000,5.04
Feb-2000,5.18
Mar-2000,5.23
Apr-2000,5.44
May-2000,6.05
Jun-2000,6.92
Jul-2000,8.07
Aug-2000,9.22
Sep-2000,9.36
Oct-2000,7.53
Nov-2000,7.25
Dec-2000,6.71
Jan-2001,7.03
Feb-2001,8.54
Mar-2001,8.96
Apr-2001,9.46
May-2001,10
Jun-2001,11.38
Jul-2001,12.6
Aug-2001,13.5
Sep-2001,13
Oct-2001,10.16
Nov-2001,6.14
Dec-2001,5.32
Jan-2002,5.53
Feb-2002,4.92
Mar-2002,5.66
Apr-2002,6.13
May-2002,7.07
Jun-2002,9.42
Jul-2002,9.4
Aug-2002,9.63
Sep-2002,8.04
Oct-2002,5.27
Nov-2002,4.8
Dec-2002,4.64
Jan-2003,4.56
Feb-2003,4.45
Mar-2003,5.58
Apr-2003,7.37
May-2003,8.22
Jun-2003,9.31
Jul-2003,10.5
Aug-2003,10.2
Sep-2003,8.65
Oct-2003,8.67
Nov-2003,7.46
Dec-2003,7.31
Jan-2004,7.43
Feb-2004,7.49
Mar-2004,7.98
Apr-2004,8.27
May-2004,9.43
Jun-2004,10.42
Jul-2004,10.99
Aug-2004,11.26
Sep-2004,10.06
Oct-2004,8.57
Nov-2004,8.89
Dec-2004,8.87
Jan-2005,8.78
Feb-2005,8.68
Mar-2005,8.69
Apr-2005,9.22
May-2005,10.68
Jun-2005,11.84
Jul-2005,12.39
Aug-2005,13.36
Sep-2005,13.5
Oct-2005,12.31
Nov-2005,12.64
Dec-2005,10.88
Jan-2006,12.88
Feb-2006,10.64
Mar-2006,9.78
Apr-2006,9.94
May-2006,11.21
Jun-2006,12.76
Jul-2006,13.19
Aug-2006,13.37
Sep-2006,13.23
Oct-2006,7.1
Nov-2006,9.1
Dec-2006,9.38
Jan-2007,8.07
Feb-2007,9.11
Mar-2007,9.56
Apr-2007,8.53
May-2007,10.48
Jun-2007,10.8
Jul-2007,10.69
Aug-2007,13.69
Sep-2007,11.43
Oct-2007,7.81
Nov-2007,7.97
Dec-2007,8.3
Jan-2008,8.51
Feb-2008,9.19
Mar-2008,9.54
Apr-2008,10.43
May-2008,12.75
Jun-2008,15.87
Jul-2008,15.09
Aug-2008,16.13
Sep-2008,10.79
Oct-2008,9.84
Nov-2008,8.78
Dec-2008,8.81
Jan-2009,8.76
Feb-2009,8.92
Mar-2009,9
Apr-2009,7.8
May-2009,8.84
Jun-2009,12.04
Jul-2009,12
Aug-2009,12.45
Sep-2009,10.63
Oct-2009,8.92
Nov-2009,8.31
Dec-2009,7.87
Jan-2010,7.82
Feb-2010,7.95
Mar-2010,7.85
Apr-2010,7.86
May-2010,8.02
Jun-2010,11.16
Jul-2010,11.26
Aug-2010,11.51
Sep-2010,10.43
Oct-2010,9.36
Nov-2010,7.56
Dec-2010,7.34
Jan-2011,7.47
Feb-2011,7.56
Mar-2011,8.14
Apr-2011,7.83
May-2011,8.92
Jun-2011,12.15
Jul-2011,13.71
Aug-2011,13.89
Sep-2011,12.46
Oct-2011,9.28
Nov-2011,7.59
Dec-2011,7.43
Jan-2012,7.65
Feb-2012,7.76
Mar-2012,8.63
Apr-2012,8.21
May-2012,10.33
Jun-2012,12.86
Jul-2012,12.88
Aug-2012,12.89
Sep-2012,11.4
Oct-2012,8.59
Nov-2012,7.62
Dec-2012,7.03
Jan-2013,6.79
Feb-2013,7.05
Mar-2013,7.21
Apr-2013,7.6
May-2013,8.88
Jun-2013,11.53
Jul-2013,13.67
Aug-2013,14.02
Sep-2013,12.34
Oct-2013,8.73
Nov-2013,7.78
Dec-2013,6.93
Jan-2014,7.66
Feb-2014,7.84
Mar-2014,8.21
Apr-2014,9.3
May-2014,10.23
Jun-2014,12.81
Jul-2014,15.45
Aug-2014,15.47
Sep-2014,13.58
Oct-2014,10.06
Nov-2014,8.08
Dec-2014,8.15
Jan-2015,8.05
Feb-2015,7.97
Mar-2015,8.5
Apr-2015,8.07
May-2015,9.25
Jun-2015,11.28
Jul-2015,14.38
Aug-2015,13.68
Sep-2015,13.17
Oct-2015,9.31
Nov-2015,6.92
Dec-2015,6.48
Jan-2016,6.07
Feb-2016,6.45
Mar-2016,6.68
Apr-2016,6.84
May-2016,7.06
Jun-2016,12.46
Jul-2016,13.96
Aug-2016,14.22
Sep-2016,12.07
Oct-2016,9.71
Nov-2016,7.38
Dec-2016,6.46
Jan-2017,6.86
Feb-2017,7.44
Mar-2017,7.92
Apr-2017,8.03
May-2017,9.17
Jun-2017,12.67
Jul-2017,14.7
Aug-2017,13.78
Sep-2017,12.16
Oct-2017,8.44
Nov-2017,7.39
Dec-2017,6.84
Jan-2018,6.66
Feb-2018,6.67
Mar-2018,7.38
Apr-2018,7.46
May-2018,10.56
Jun-2018,14.56
Jul-2018,17.38
Aug-2018,14.75
Sep-2018,13.29
Oct-2018,8
Nov-2018,6.71
Dec-2018,6.3
Jan-2019,7.22
Feb-2019,7.57
Mar-2019,7.66
Apr-2019,8.2
May-2019,8.74
Jun-2019,11.32
Jul-2019,13.49
Aug-2019,14.14
Sep-2019,12.82
Oct-2019,7.45
Nov-2019,6.41
Dec-2019,6.21
Jan-2020,5.98
Feb-2020,5.85
Mar-2020,6.5
Apr-2020,6.66
May-2020,8.85
Jun-2020,11.55
Jul-2020,13.3
Aug-2020,13.39
Sep-2020,10.34
Oct-2020,8.08
Nov-2020,7.46
Dec-2020,6.96
Jan-2021,6.7
Feb-2021,6.61
Mar-2021,7.24
Apr-2021,9.16
May-2021,10.61
Jun-2021,12.36
Jul-2021,16.06
Aug-2021,15.29
Sep-2021,15.34
Oct-2021,12.14
Nov-2021,10.79
Dec-2021,10.22
Jan-2022,9.59
Feb-2022,9.83
Mar-2022,10.16
Apr-2022,11.8
May-2022,13.71
Jun-2022,16.07
Jul-2022,22.26
Aug-2022,22.23
Sep-2022,21.76
Oct-2022,17.64
Nov-2022,15.54
Dec-2022,13.02
Jan-2023,13.24
Feb-2023,12.05
Mar-2023,10.74
Apr-2023,11.28
May-2023,12.83
Jun-2023,14.22
Jul-2023,15.29
Aug-2023,15.48
Sep-2023,14.65
Oct-2023,11.96
Nov-2023,10.48
,
